Age,Mattress,Savings,Bonds,Stocks,Total
32,1200,510,1.01,2.88,1713.88
33,1250,1540.2,3.13,5.39,2798.72
34,2250,2591,55.55,41.47,4938.03
35,3250,4172.82,63.87,304.09,7790.79
36,3250,4766.28,91.24,734.62,8842.14
37,3250,4863.65,143.87,2601.58,10859.1
38,3300,4960.92,263.28,3558.72,12082.92
39,3800,5570.14,797.4,6689.47,16857.01
40,3810,5701.94,1257.51,9419.82,20189.26
41,3830,7855.98,1325.55,6349.49,19361.02
42,3830,8523.1,1433.46,8221.55,22008.11
43,4030,9101.56,1509.21,8142.98,22783.75
44,4031,9284.61,1591.76,7275.02,22182.39
45,4041,9674.3,1598.8,6686.2,22000.3
46,4041,10071.79,2044.57,11066.36,27223.72
47,4041,10783.23,2115.98,17591.39,34531.59
48,4041,11712.89,2221.86,24509.93,42485.68
49,4051,12457.15,2358.19,39401.29,58267.63
50,4051,13216.29,2473.25,39238.93,58979.47
51,4051,16744.62,2526.28,45487.35,68809.25
52,4051,24729.51,3085.3,52836.63,84702.44
53,4051,25530.1,3752.37,67829.23,101162.7
54,4051,26550.7,4772.81,95921.97,131296.48
55,4051,27489.72,5755.49,128530.69,165826.9
